,FIPS,property crimes,violent crimes
1120,21217,516,53
1121,21219,56,4
1122,21221,170,17
1123,21223,16,0
1124,21225,141,9
1125,21227,3681,358
1126,21229,114,8
1127,21231,317,24
1128,21233,57,6
1129,21235,502,38
1130,21237,1,0
1131,21239,702,48
1132,22000,160615,28002
1133,22001,1460,288
1134,22003,348,43
1135,22005,2918,406
1136,22007,375,151
1137,22009,985,150
1138,22011,540,110
1139,22013,131,43
1140,22015,3374,1493
1141,22017,11538,2064
1142,22019,6095,871
1143,22021,351,62
1144,22023,165,49
1145,22025,210,150
1146,22027,481,131
1147,22029,486,172
1148,22031,666,502
1149,22033,21803,3562
1150,22035,81,61
1151,22037,185,45
1152,22039,1066,121
1153,22041,159,11
1154,22043,283,23
1155,22045,2163,400
1156,22047,837,229
1157,22049,151,10
1158,22051,18749,2865
1159,22053,802,139
1160,22055,8911,1701
1161,22057,2034,277
1162,22059,91,29
1163,22061,1711,217
1164,22063,3498,256
1165,22065,419,140
1166,22067,1675,147
1167,22069,1623,334
1168,22071,15208,2893
1169,22073,8600,758
1170,22075,390,55
1171,22077,287,56
1172,22079,5993,1016
1173,22081,301,43
1174,22083,203,9
1175,22085,356,40
1176,22087,1392,139
1177,22089,1359,172
1178,22091,259,86
1179,22093,772,204
1180,22095,1653,161
1181,22097,1375,168
1182,22099,603,257
1183,22101,2040,438
1184,22103,5444,623
1185,22105,8396,1668
1186,22107,0,0
1187,22109,4415,645
1188,22111,250,91
1189,22113,351,299
1190,22115,905,239
1191,22117,1739,336
1192,22119,564,99
1193,22121,755,105
1194,22123,264,28
1195,22125,127,51
1196,22127,250,71
1197,23000,32433,1572
1198,23001,2468,159
1199,23003,1271,41
1200,23005,7281,456
1201,23007,798,39
1202,23009,1045,35
1203,23011,3397,139
1204,23013,1013,20
1205,23015,506,22
1206,23017,1312,81
1207,23019,4872,117
1208,23021,413,20
1209,23023,681,16
1210,23025,1414,52
1211,23027,589,35
1212,23029,871,120
1213,23031,4502,220
1214,24000,198165,35393
1215,24001,2223,240
