,FIPS,Normalized Median Income,Poverty Fraction
2520,47095,0.6037580464185908,42.5
2521,47097,0.7894206774872115,23.1
2522,47099,0.796254884765811,18.0
2523,47101,0.7728000713504812,20.8
2524,47103,0.9323346446601023,15.6
2525,47105,1.1884546983866657,14.8
2526,47107,0.8593666968794087,18.2
2527,47109,0.816246103335864,22.1
2528,47111,0.8068548797285368,20.7
2529,47113,0.9111114091316623,20.6
2530,47115,0.8616447659722752,19.2
2531,47117,0.9688999781609087,14.8
2532,47119,1.0126714485881294,14.8
2533,47121,0.8324017974128255,20.4
2534,47123,0.8441408269219846,20.6
2535,47125,1.081455187830905,13.8
2536,47127,1.0807810653442405,14.2
2537,47129,0.7984399714467237,18.6
2538,47131,0.8869824732296681,16.2
2539,47133,0.7572022717452422,21.3
2540,47135,0.7451145581912566,20.2
2541,47137,0.6960895814886497,19.8
2542,47139,0.800601812524648,18.2
2543,47141,0.7692434940932509,21.3
2544,47143,0.7890952390453734,21.9
2545,47145,0.9067412357698368,13.8
2546,47147,1.1748095294324552,13.5
2547,47149,1.2548673861246211,12.4
2548,47151,0.6721233648075745,25.0
2549,47153,0.8789162489926815,17.7
2550,47155,0.9639021735183955,13.9
2551,47157,0.973525853155607,20.9
2552,47159,0.9336131528244662,17.8
2553,47161,0.8928636107857417,17.9
2554,47163,0.8757083557802776,17.8
2555,47165,1.2555415086112858,11.1
2556,47167,1.175227950286247,15.8
2557,47169,0.9062298325040912,16.7
2558,47171,0.8270553087254857,19.3
2559,47173,0.7626882340505126,23.1
2560,47175,0.7410930688742575,20.8
2561,47177,0.7865382227166456,19.1
2562,47179,0.9269416647667857,17.6
2563,47181,0.7569233245093809,23.0
2564,47183,0.8081798790988775,20.8
2565,47185,0.7705917390665801,18.9
2566,47187,2.033385875810257,5.4
2567,47189,1.4090554707469025,9.1
2568,48000,1.122437185899514,17.1
2569,48001,0.8598781001451542,24.3
2570,48003,1.2475682667862529,12.5
2571,48005,0.9008136070077861,17.0
2572,48007,0.9321719254391833,19.2
2573,48009,1.19714855390434,10.7
2574,48011,1.119601222334925,10.2
2575,48013,0.9109951811167201,18.5
2576,48015,1.1752511958892353,11.0
2577,48017,0.8204303118737821,17.9
2578,48019,1.061092039613037,14.2
2579,48021,1.1341064785997077,14.6
2580,48023,0.7405584200055236,18.9
2581,48025,0.8639228350651417,28.6
2582,48027,1.0645556344583138,15.3
2583,48029,1.0533744994208771,17.7
2584,48031,1.1359196356328054,12.2
2585,48033,1.0862437820465225,11.3
2586,48035,0.9964925089081796,14.5
2587,48037,0.9445618318320185,19.8
2588,48039,1.5462045283786618,10.0
2589,48041,0.8219645216710187,29.8
2590,48043,0.8079706686719815,17.3
2591,48045,0.8160136473059797,15.2
2592,48047,0.5823488460662433,33.0
2593,48049,0.8339592528130505,17.9
2594,48051,0.9042074650440974,15.6
2595,48053,1.076899049645172,13.0
2596,48055,0.93489166098883,16.8
2597,48057,0.9870780396978639,16.0
2598,48059,0.9751530453647974,14.3
2599,48061,0.7150347479242233,34.0
2600,48063,0.8351912697714375,20.1
2601,48065,1.2941524551750743,8.8
2602,48067,0.8615982747662984,19.3
2603,48069,0.806761897316583,21.0
2604,48071,1.5918124014419688,8.7
2605,48073,0.8326807446486867,22.5
2606,48075,0.7644548998776335,25.4
2607,48077,1.1567244503074536,9.8
2608,48079,0.7750781404433478,21.5
2609,48081,0.998073209911393,17.1
2610,48083,0.7087119439113693,27.1
2611,48085,1.8109487008139342,7.1
2612,48087,0.7311207051922195,18.8
2613,48089,0.9547666515439409,16.0
2614,48091,1.4561510624014693,8.8
2615,48093,0.8302167107319127,21.7
2616,48095,0.8546245938697682,29.5
2617,48097,1.1573985727941183,14.8
2618,48099,0.9961438248633531,16.4
2619,48101,0.6718444175717133,22.7
2620,48103,1.1967998698595135,12.1
2621,48105,1.013066623838933,14.1
2622,48107,0.7392799118411597,28.7
2623,48109,0.6993439659070305,22.9
2624,48111,0.8141075078609281,14.5
2625,48113,1.0703205439994452,18.7
2626,48115,0.8112947898993276,23.6
2627,48117,0.7829119086504499,19.3
2628,48119,0.8186171548406842,18.8
2629,48121,1.6440220257539913,8.7
2630,48123,0.8431877571994587,19.3
2631,48125,0.711106241019178,25.4
2632,48127,0.6402536431104318,30.6
2633,48129,0.7938838332609907,20.1
2634,48131,0.7019939646477119,25.5
2635,48133,0.7634785845521193,19.7
2636,48135,1.0212955672968385,16.9
2637,48137,0.7093860663980339,25.0
2638,48139,1.346919973958819,10.9
2639,48141,0.8386548646167141,23.7
2640,48143,0.8504171397288617,20.7
2641,48145,0.7342123703896811,23.2
2642,48147,0.9651806816827593,17.3
2643,48149,1.070134579175538,12.1
2644,48151,0.8354934626102872,19.2
2645,48153,0.7299351794398093,23.2
2646,48155,0.663359772480935,19.9
2647,48157,1.8723868295123647,7.5
2648,48159,0.9331249951617091,15.5
2649,48161,1.001327594329774,14.9
2650,48163,0.6964615111364647,32.4
2651,48165,0.9988635604129998,16.5
2652,48167,1.2990340318026454,14.7
2653,48169,1.0361495076064475,21.9
2654,48171,1.1562362926446965,11.0
2655,48173,1.2176976669461155,10.8
2656,48175,1.0398455584816086,15.6
2657,48177,0.7699641077858923,19.8
2658,48179,0.8922592251080425,15.1
2659,48181,1.0048841715870043,14.1
2660,48183,1.000699963049086,15.0
2661,48185,0.918061844425204,18.1
2662,48187,1.3439910279822762,11.2
2663,48189,0.816943471425517,19.2
2664,48191,0.6217268975286501,25.3
2665,48193,0.8889351038806964,15.9
2666,48195,1.038845997553106,12.3
2667,48197,0.782377259781716,18.8
2668,48199,1.2477542316101604,11.3
2669,48201,1.1756928623460157,17.1
2670,48203,1.011253466805835,15.4
2671,48205,1.2765322881098413,11.4
2672,48207,0.7207764118623664,22.6
2673,48209,1.2346437115246838,19.2
2674,48211,1.4031278419848519,7.6
2675,48213,0.9067412357698368,18.2
2676,48215,0.7057365067288498,35.2
2677,48217,0.9072293934325939,16.0
2678,48219,0.9550688443827906,16.7
2679,48221,1.2824366712689037,11.6
2680,48223,0.8635973966233036,18.0
2681,48225,0.7586202535275366,23.9
2682,48227,0.8584368727598713,18.7
2683,48229,0.6288632976460993,29.8
2684,48231,0.9800346219923685,19.9
2685,48233,1.0220859177984452,12.3
2686,48235,1.1670687436373066,10.9
2687,48237,1.095379304020977,14.9
2688,48239,1.020412234383278,13.8
2689,48241,0.9085543928029346,16.5
2690,48243,0.8860294035071422,13.6
2691,48245,0.955092089985779,19.1
2692,48247,0.7667329689705,22.6
2693,48249,0.8323320606038602,23.2
2694,48251,1.3037993804152743,11.4
2695,48253,0.8286360097286992,23.9
2696,48255,0.8014154086292432,25.8
2697,48257,1.2864116693799257,12.2
2698,48259,1.6758685018481454,8.6
2699,48261,0.7516698182339949,15.9
2700,48263,0.8738719531441914,12.2
2701,48265,1.0146240792391579,14.5
2702,48267,0.8458610015431286,18.5
2703,48269,1.1626055878635275,15.4
2704,48271,0.8084123351287619,20.7
2705,48273,0.8705478319168454,22.3
2706,48275,0.7294935129830291,23.1
2707,48277,0.8374925844672925,18.6
2708,48279,0.7506702573054923,20.5
2709,48281,1.0573262519289108,17.9
2710,48283,0.6532711807839547,31.6
2711,48285,0.9018131679362887,12.6
2712,48287,1.0868946589301987,10.7
2713,48289,0.9013482558765201,16.9
2714,48291,1.053211780199958,17.9
2715,48293,0.8042281265908438,19.9
2716,48295,1.2401064282269656,12.2
2717,48297,0.9446083230379954,21.2
2718,48299,0.9630885774138003,13.2
2719,48301,1.1600253259318112,11.1
2720,48303,0.9102745674240786,20.1
2721,48305,0.769359722108193,19.3
2722,48307,0.8143632094938009,18.6
2723,48309,0.9057184292383457,22.8
2724,48311,0.9486298123549944,13.2
2725,48313,0.7641527070387839,25.9
2726,48315,0.7254952692690185,24.6
2727,48317,0.9515122671255603,15.1
2728,48319,0.8592737144674549,16.5
2729,48321,0.9051372891636348,21.2
2730,48323,0.6379988196205537,29.8
2731,48325,1.052514412110305,17.6
2732,48327,0.6906268647863678,25.6
2733,48329,1.2773226386114482,12.5
2734,48331,0.8657824833042164,18.0
2735,48333,0.8032983024713064,19.4
2736,48335,0.8010667245844167,22.6
2737,48337,0.9820337438493738,15.4
2738,48339,1.5139861226366926,11.2
2739,48341,0.972131116976301,11.6
2740,48343,0.81957022456321,18.8
2741,48345,0.7754035788851859,20.7
2742,48347,0.7589224463663863,25.8
2743,48349,0.9035798337634098,18.3
2744,48351,0.8675026579253605,20.4
2745,48353,0.7938140964520254,17.6
2746,48355,0.9532789329526812,19.9
2747,48357,1.2792520236594882,12.1
2748,48359,0.9468166553218966,13.6
2749,48361,1.058418795269367,15.6
2750,48363,0.9331017495587206,17.0
2751,48365,1.07989773243068,13.2
2752,48367,1.442366419829328,9.9
2753,48369,0.8523000335709248,16.9
2754,48371,0.8725237081708622,19.7
2755,48373,0.8476974041792149,22.6
2756,48375,0.8266833790776708,23.1
2757,48377,0.66566108717679,23.6
2758,48379,0.9763153255142191,15.8
2759,48381,1.2627708911406885,8.9
2760,48383,1.2624454526988504,9.5
2761,48385,0.670008014935627,22.0
2762,48387,0.7715448087891058,19.1
2763,48389,0.7338171951388778,27.4
2764,48391,0.8582276623329754,17.2
2765,48393,1.4663791277163802,6.6
