,FIPS,Age 18 and over,Voting Age Fraction
1773,31179,7733,0.805940594059406
1774,31181,2951,0.7741343126967472
1775,31183,617,0.7542787286063569
1776,31185,10607,0.7762166117819246
1777,32000,2035543,0.753750993778677
1778,32001,18603,0.7477991719258753
1779,32003,1462651,0.7495896260331097
1780,32005,37512,0.7981786071451369
1781,32007,34588,0.7085091564586833
1782,32009,651,0.8314176245210728
1783,32011,1506,0.7579265223955712
1784,32013,12004,0.7262826718296225
1785,32015,4181,0.723982683982684
1786,32017,3908,0.7311506080449017
1787,32019,39052,0.7512889572912659
1788,32021,3898,0.816848281642917
1789,32023,34858,0.7932007463705457
1790,32027,5431,0.8042351547460388
1791,32029,3309,0.8251870324189526
1792,32031,322075,0.7642848837347268
1793,32033,7857,0.7833499501495513
1794,32510,43459,0.7862466982668163
1795,33000,1029236,0.7818150052792696
1796,33001,47607,0.7922879776328052
1797,33003,38901,0.8135221046467858
1798,33005,62005,0.8040380201511989
1799,33007,26803,0.8108606867342308
1800,33009,72734,0.8161538634170425
1801,33011,306639,0.7652181942049456
1802,33013,114499,0.7818566697394926
1803,33015,227785,0.7715692883007083
1804,33017,97723,0.7935733253209684
1805,33019,34540,0.7896301037904074
1806,34000,6726680,0.7651002161764007
1807,34001,210661,0.7672983693256942
1808,34003,700711,0.7741670680885102
1809,34005,344491,0.7676953384410363
1810,34007,388540,0.7564191668759503
1811,34009,78916,0.8113504343803012
1812,34011,119193,0.7596846358780864
1813,34013,589051,0.7513702710183694
1814,34015,218027,0.7562819125319126
1815,34017,503104,0.7932066357017403
1816,34019,98132,0.7645715977530015
1817,34021,283531,0.7735905684109431
1818,34023,624401,0.7710005951660661
1819,34025,480081,0.7615739712554332
1820,34027,374581,0.7609166402587166
1821,34029,441648,0.7659959727143593
1822,34031,376613,0.7513836073946683
1823,34033,50573,0.7652951591180788
1824,34035,242609,0.7500803848579661
1825,34037,113492,0.7603389944059223
1826,34039,405241,0.755343439596346
1827,34041,83084,0.7643984837890553
1828,35000,1540507,0.7481170893836816
1829,35001,503434,0.7598269752054141
1830,35003,3135,0.8416107382550335
1831,35005,47262,0.7199634397136111
1832,35006,20379,0.7488700253555286
1833,35007,10911,0.7935272727272727
1834,35009,34659,0.7164503059368281
1835,35011,1571,0.7769535113748763
1836,35013,153375,0.7330344639707885
1837,35015,39794,0.7392669378959297
1838,35017,23041,0.780680355085722
1839,35019,3666,0.7821634307659484
1840,35021,603,0.8676258992805755
1841,35023,3632,0.7421332243563548
1842,35025,45699,0.7060268512367327
1843,35027,16609,0.8103137044445529
1844,35028,13602,0.7577715877437325
1845,35029,18450,0.7352062163777645
1846,35031,49119,0.6870558943658032
1847,35033,3839,0.786519155910674
1848,35035,47836,0.7498158220605985
1849,35037,7073,0.7823249640526491
1850,35039,30333,0.7536898076827511
1851,35041,14576,0.7344553058550841
1852,35043,96402,0.7327551478021602
1853,35045,92393,0.7104749161822153
1854,35047,22931,0.7801517368080836
1855,35049,113934,0.7902753693556218
1856,35051,10060,0.8391725058391725
1857,35053,13596,0.7609985447218179
1858,35055,26155,0.79409175091842
1859,35057,12432,0.7588353781358725
1860,35059,3619,0.7955594636183777
1861,35061,56387,0.736420744687798
1862,36000,15053173,0.7768135909285646
1863,36001,243573,0.800689668774901
1864,36003,38370,0.7839251419932171
1865,36005,1016912,0.7341752412086278
1866,36007,160041,0.7978115653040877
1867,36009,61516,0.7659150615685347
1868,36011,62728,0.7838452502936546
1869,36013,105459,0.7817278825840406
1870,36015,68950,0.7762017336485422
1871,36017,38998,0.7725894962061929
1872,36019,66238,0.8065215273719073
1873,36021,50289,0.7970235831114493
1874,36023,38925,0.7889776228311983
1875,36025,38575,0.8039808253438933
1876,36027,231519,0.7782465175065885
1877,36029,720096,0.7835306406685236
1878,36031,31784,0.8073152146304292
1879,36033,40879,0.7922440357371267
1880,36035,43205,0.7780338909798131
1881,36037,46820,0.7793072454601442
1882,36039,39739,0.8073586477316592
1883,36041,4041,0.8356079404466501
1884,36043,50221,0.7783908616066585
1885,36045,86596,0.7450464169871547
1886,36047,1910322,0.7626949335249731
1887,36049,20384,0.7525381179163436
1888,36051,52176,0.7978835655192452
1889,36053,57437,0.7820729282971597
1890,36055,575645,0.7733588233397461
1891,36057,38418,0.7650092594436368
1892,36059,1027952,0.7673963742560834
1893,36061,1351438,0.852172904135451
1894,36063,169979,0.7852348373208173
1895,36065,183501,0.7812609099191921
1896,36067,359771,0.7703446917302249
1897,36069,83631,0.7748561581010089
1898,36071,271284,0.7276677583667952
1899,36073,33343,0.7775342210199846
1900,36075,93886,0.7688704354306398
1901,36077,50641,0.8133924412534734
1902,36079,76060,0.7628121552502256
1903,36081,1768821,0.7929365470013744
1904,36083,125460,0.7869333684586869
1905,36085,359529,0.7670279265248651
1906,36087,224107,0.7190129841796418
1907,36089,88139,0.7873490316586865
1908,36091,169751,0.7729762712481842
1909,36093,119218,0.770505470926212
1910,36095,26217,0.800543528046658
1911,36097,14453,0.787930000545167
1912,36099,27732,0.7867010864940002
1913,36101,75792,0.7656530962723508
1914,36103,1135680,0.7604915123715137
1915,36105,59971,0.7733503552684179
1916,36107,39148,0.7657310513447433
1917,36109,84905,0.8359753455948958
1918,36111,145677,0.7982607552070491
1919,36113,52162,0.7938575798621151
1920,36115,49899,0.7893413059984814
1921,36117,71473,0.7621998037793798
1922,36119,721113,0.7597757063700529
1923,36121,33451,0.7935238998932511
1924,36123,19133,0.7548130029982641
1925,37000,7253848,0.7607216121092135
1926,37001,115688,0.7654816020538473
1927,37003,28745,0.7727565998171945
1928,37005,8920,0.7996414164051995
1929,37007,20982,0.7786106575627134
